"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","16","tests","test_users","TestUsersAPI","","","Проверка получения списка пользователей с пагинацией: страница 3",""
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","68","tests","test_users","TestUsersAPI","","","Успешное получение списка пользователей",""
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","14","tests","test_users","TestUsersAPI","","","Проверка получения списка пользователей с пагинацией: страница 2",""
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","16","tests","test_users","TestUsersAPI","","","Проверка получения списка пользователей с пагинацией: страница 4",""
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","14","tests","test_users","TestUsersAPI","","","Проверка получения списка пользователей с пагинацией: страница 5",""
"passed","Fri Jul 04 10:11:13 UTC 2025","Fri Jul 04 10:11:13 UTC 2025","20","tests","test_users","TestUsersAPI","","","Проверка получения списка пользователей с пагинацией: страница 1",""
